wavelength_A,I,Q,U,V
5.875000000000000000e+03,7.262745215780692654e-01,-6.384790670425750611e-06,3.630328413870059370e-06,1.996586942004340467e-05
5.875001668056714152e+03,7.262732447122005608e-01,-6.746679334600172738e-06,3.844589876110057232e-06,2.113494798048059448e-05
5.875003336113428304e+03,7.262718954568929686e-01,-7.128980501249366658e-06,4.070945495351551526e-06,2.237024400724037842e-05
5.875005004170141547e+03,7.262704698859188124e-01,-7.532798672382344274e-06,4.310046987882210762e-06,2.367534503813583893e-05
5.875006672226855699e+03,7.262689638727162222e-01,-7.959294518286826519e-06,4.562578999300983733e-06,2.505402136302178215e-05
5.875008340283569851e+03,7.262673730810172978e-01,-8.409687483694091561e-06,4.829260617476312297e-06,2.651023453807212869e-05
5.875010008340284003e+03,7.262656929550916907e-01,-8.885258501732323932e-06,5.110846947092796263e-06,2.804814626389244642e-05
5.875011676396997245e+03,7.262639187095926152e-01,-9.387352814192895069e-06,5.408130744750090529e-06,2.967212760939630950e-05
5.875013344453711397e+03,7.262620453189889691e-01,-9.917382905203495688e-06,5.721944118681985572e-06,3.138676861531044360e-05
5.875015012510425549e+03,7.262600675065857825e-01,-1.047683154690491080e-05,6.053160292095469376e-06,3.319688826921992985e-05
5.875016680567139701e+03,7.262579797330959153e-01,-1.106725496586964609e-05,6.402695435139146526e-06,3.510754488033125160e-05
5.875018348623852944e+03,7.262557761847721061e-01,-1.169028612952299000e-05,6.771510564894317799e-06,3.712404685615153965e-05
5.875020016680567096e+03,7.262534507610666212e-01,-1.234763815931558519e-05,7.160613517198035781e-06,3.925196389995924706e-05
5.875021684737281248e+03,7.262509970618264976e-01,-1.304110786879245662e-05,7.571060988996429830e-06,4.149713862560021533e-05
5.875023352793995400e+03,7.262484083739907392e-01,-1.377257943697879698e-05,8.003960657222339214e-06,4.386569862725356967e-05
5.875025020850708643e+03,7.262456776577833617e-01,-1.454402821445991948e-05,8.460473372391657981e-06,4.636406898972643295e-05
5.875026688907422795e+03,7.262427975323861862e-01,-1.535752467074078182e-05,8.941815431821828903e-06,4.899898527577013812e-05
5.875028356964136947e+03,7.262397602610899394e-01,-1.621523847922929745e-05,9.449260930036672122e-06,5.177750697514157794e-05
5.875030025020851099e+03,7.262365577358865787e-01,-1.711944275181174186e-05,9.984144193226028574e-06,5.470703145769662608e-05
5.875031693077564341e+03,7.262331814615097247e-01,-1.807251841970196519e-05,1.054786229551569099e-05,5.779530842220515884e-05
5.875033361134278493e+03,7.262296225388834570e-01,-1.907695876881360054e-05,1.114187766168061995e-05,6.105045486123295505e-05
5.875035029190992645e+03,7.262258716480106679e-01,-2.013537412615062523e-05,1.176772075393671871e-05,6.448097054841368336e-05
5.875036697247706797e+03,7.262219190302282579e-01,-2.125049670899876916e-05,1.242699284949219008e-05,6.809575406807988720e-05
5.875038365304420040e+03,7.262177544698616982e-01,-2.242518563328577442e-05,1.312136890639829684e-05,7.190411939455760323e-05
5.875040033361134192e+03,7.262133672752337787e-01,-2.366243209029075418e-05,1.385260052281995175e-05,7.591581304308335986e-05
5.875041701417848344e+03,7.262087462590481879e-01,-2.496536468481865150e-05,1.462251898531015288e-05,8.014103177558685868e-05
5.875043369474562496e+03,7.262038797180893068e-01,-2.633725495023303282e-05,1.543303841485247184e-05,8.459044091007108244e-05
5.875045037531275739e+03,7.261987554122659727e-01,-2.778152303351284956e-05,1.628615900625897500e-05,8.927519322106123646e-05
5.875046705587989891e+03,7.261933605429450322e-01,-2.930174356046712746e-05,1.718397036652144407e-05,9.420694845486801466e-05
5.875048373644704043e+03,7.261876817306210929e-01,-3.090165167254930523e-05,1.812865494671965063e-05,9.939789345006693822e-05
5.875050041701418195e+03,7.261817049918359857e-01,-3.258514925178784312e-05,1.912249157677498710e-05,1.048607629021857697e-04
5.875051709758131437e+03,7.261754157153960110e-01,-3.435631132465418136e-05,2.016785909734102798e-05,1.106088607613199635e-04
5.875053377814845589e+03,7.261687986378261295e-01,-3.621939265675738941e-05,2.126724009442324312e-05,1.166560822901494286e-04
5.875055045871559741e+03,7.261618378181127209e-01,-3.817883452429432674e-05,2.242322473074694967e-05,1.230169367558296874e-04
5.875056713928273894e+03,7.261545166116479821e-01,-4.023927168432139443e-05,2.363851468326014915e-05,1.297065708156220319e-04
5.875058381984987136e+03,7.261468176434253685e-01,-4.240553952933133865e-05,2.491592717759375609e-05,1.367407925594420616e-04
5.875060050041701288e+03,7.261387227804307898e-01,-4.468268143902083539e-05,2.625839913023742762e-05,1.441360962598223282e-04
5.875061718098415440e+03,7.261302131032801865e-01,-4.707595631154657258e-05,2.766899138493844029e-05,1.519096877666512057e-04
5.875063386155129592e+03,7.261212688770195545e-01,-4.959084630010412434e-05,2.915089305568583980e-05,1.600795106372965358e-04
5.875065054211842835e+03,7.261118695211437046e-01,-5.223306473318306033e-05,3.070742596867498815e-05,1.686642729437754743e-04
5.875066722268556987e+03,7.261019935787723645e-01,-5.500856423597681494e-05,3.234204920774980287e-05,1.776834748099475302e-04
5.875068390325271139e+03,7.260916186850520093e-01,-5.792354502828124264e-05,3.405836375075976303e-05,1.871574366024741150e-04
5.875070058381985291e+03,7.260807215346911647e-01,-6.098446342743177578e-05,3.586011721297032633e-05,1.971073278845526203e-04
5.875071726438698533e+03,7.260692778486923515e-01,-6.419804053191676904e-05,3.775120867923065910e-05,2.075551970424346969e-04
5.875073394495412686e+03,7.260572623402216097e-01,-6.757127110093818752e-05,3.973569363969643308e-05,2.185240016576256938e-04
5.875075062552126838e+03,7.260446486797051957e-01,-7.111143260164784030e-05,4.181778900569526784e-05,2.300376395236939232e-04
5.875076730608840990e+03,7.260314094590374356e-01,-7.482609445557236976e-05,4.400187822633893606e-05,2.421209804269663576e-04
5.875078398665554232e+03,7.260175161549929923e-01,-7.872312745207988053e-05,4.629251648567802761e-05,2.547998985858857110e-04
5.875080066722268384e+03,7.260029390917707159e-01,-8.281071334844289865e-05,4.869443599114325850e-05,2.681013058229060348e-04
5.875081734778982536e+03,7.259876474027951998e-01,-8.709735461834755468e-05,5.121255133004832340e-05,2.820531853550750298e-04
5.875083402835696688e+03,7.259716089916229409e-01,-9.159188438508657790e-05,5.385196491460840935e-05,2.966846263200465742e-04
5.875085070892409931e+03,7.259547904920915506e-01,-9.630347649985942929e-05,5.661797249136000691e-05,3.120258589226095319e-04
5.875086738949124083e+03,7.259371572276244189e-01,-1.012416557870389998e-04,5.951606872697952876e-05,3.281082902847944354e-04
5.875088407005838235e+03,7.259186731698379358e-01,-1.064163084068113117e-04,6.255195284041964823e-05,3.449645408345024668e-04
5.875090075062552387e+03,7.258993008962941751e-01,-1.118376923794889137e-04,6.573153430652397676e-05,3.626284813971351385e-04
5.875091743119265630e+03,7.258790015475595769e-01,-1.175164482204681240e-04,6.906093860012583693e-05,3.811352708275603045e-04
5.875093411175979782e+03,7.258577347834681559e-01,-1.234636097102523452e-04,7.254651299407959507e-05,4.005213942744146943e-04
5.875095079232693934e+03,7.258354587387852996e-01,-1.296906147388958419e-04,7.619483237456747490e-05,4.208247018837254919e-04
5.875096747289408086e+03,7.258121299780817548e-01,-1.362093162757786616e-04,8.001270510261745289e-05,4.420844481255009856e-04
5.875098415346121328e+03,7.257877034500177515e-01,-1.430319934016142849e-04,8.400717888351712703e-05,4.643413315420558585e-04
