profile,field_gauss,field_incl_deg,field_azim_deg,los_deg,height_arcsec,optical_depth,n,w,wavelength_A,I,Q,U,V
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875000000000000000e+03,7.262745215780692654e-01,-6.384790670425750611e-06,3.630328413870059370e-06,1.996586942004340467e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875001668056714152e+03,7.262732447122005608e-01,-6.746679334600172738e-06,3.844589876110057232e-06,2.113494798048059448e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875003336113428304e+03,7.262718954568929686e-01,-7.128980501249366658e-06,4.070945495351551526e-06,2.237024400724037842e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875005004170141547e+03,7.262704698859188124e-01,-7.532798672382344274e-06,4.310046987882210762e-06,2.367534503813583893e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875006672226855699e+03,7.262689638727162222e-01,-7.959294518286826519e-06,4.562578999300983733e-06,2.505402136302178215e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875008340283569851e+03,7.262673730810172978e-01,-8.409687483694091561e-06,4.829260617476312297e-06,2.651023453807212869e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875010008340284003e+03,7.262656929550916907e-01,-8.885258501732323932e-06,5.110846947092796263e-06,2.804814626389244642e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875011676396997245e+03,7.262639187095926152e-01,-9.387352814192895069e-06,5.408130744750090529e-06,2.967212760939630950e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875013344453711397e+03,7.262620453189889691e-01,-9.917382905203495688e-06,5.721944118681985572e-06,3.138676861531044360e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875015012510425549e+03,7.262600675065857825e-01,-1.047683154690491080e-05,6.053160292095469376e-06,3.319688826921992985e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875016680567139701e+03,7.262579797330959153e-01,-1.106725496586964609e-05,6.402695435139146526e-06,3.510754488033125160e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875018348623852944e+03,7.262557761847721061e-01,-1.169028612952299000e-05,6.771510564894317799e-06,3.712404685615153965e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875020016680567096e+03,7.262534507610666212e-01,-1.234763815931558519e-05,7.160613517198035781e-06,3.925196389995924706e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875021684737281248e+03,7.262509970618264976e-01,-1.304110786879245662e-05,7.571060988996429830e-06,4.149713862560021533e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875023352793995400e+03,7.262484083739907392e-01,-1.377257943697879698e-05,8.003960657222339214e-06,4.386569862725356967e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875025020850708643e+03,7.262456776577833617e-01,-1.454402821445991948e-05,8.460473372391657981e-06,4.636406898972643295e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875026688907422795e+03,7.262427975323861862e-01,-1.535752467074078182e-05,8.941815431821828903e-06,4.899898527577013812e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875028356964136947e+03,7.262397602610899394e-01,-1.621523847922929745e-05,9.449260930036672122e-06,5.177750697514157794e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875030025020851099e+03,7.262365577358865787e-01,-1.711944275181174186e-05,9.984144193226028574e-06,5.470703145769662608e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875031693077564341e+03,7.262331814615097247e-01,-1.807251841970196519e-05,1.054786229551569099e-05,5.779530842220515884e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875033361134278493e+03,7.262296225388834570e-01,-1.907695876881360054e-05,1.114187766168061995e-05,6.105045486123295505e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875035029190992645e+03,7.262258716480106679e-01,-2.013537412615062523e-05,1.176772075393671871e-05,6.448097054841368336e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875036697247706797e+03,7.262219190302282579e-01,-2.125049670899876916e-05,1.242699284949219008e-05,6.809575406807988720e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875038365304420040e+03,7.262177544698616982e-01,-2.242518563328577442e-05,1.312136890639829684e-05,7.190411939455760323e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875040033361134192e+03,7.262133672752337787e-01,-2.366243209029075418e-05,1.385260052281995175e-05,7.591581304308335986e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875041701417848344e+03,7.262087462590481879e-01,-2.496536468481865150e-05,1.462251898531015288e-05,8.014103177558685868e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875043369474562496e+03,7.262038797180893068e-01,-2.633725495023303282e-05,1.543303841485247184e-05,8.459044091007108244e-05
