term_id,L,S,J,Jʹ,K,Q,coefficient
2p3_L=1.0_S=1.0,1,1,0.0,0.0,0.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,-1.0,29616496926.04057
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,-0.0,29616496926.04057
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,1.0,29616496926.04057
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,31909909229.60795
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,31909909229.60795
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-0.0,31909909229.60795
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,31909909229.60795
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,31909909229.60795
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,-29616496926.04057
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-0.0,-29616496926.04057
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,-29616496926.04057
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,2.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,2.0,1.0,-1.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,1.0,-0.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,1.0,1.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,-2.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,-1.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,-0.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,1.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,2.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-3.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-2.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-1.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-0.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,1.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,2.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,3.0,2293412303.5673785
2p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,-2.0,-31909909229.60795
2p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,-1.0,-31909909229.60795
2p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,-0.0,-31909909229.60795
2p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,1.0,-31909909229.60795
2p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,2.0,-31909909229.60795
2p3_L=1.0_S=1.0,1,1,2.0,1.0,1.0,-1.0,-2293412303.5673785
2p3_L=1.0_S=1.0,1,1,2.0,1.0,1.0,-0.0,-2293412303.5673785
2p3_L=1.0_S=1.0,1,1,2.0,1.0,1.0,1.0,-2293412303.5673785
2p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,-2.0,-2293412303.5673785
2p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,-1.0,-2293412303.5673785
