term_id,L,S,term_upper_id,Lu,J,Jʹ,K,Q,Ju,Jʹu,Ku,Qu,coefficient
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,-0.0,203669929.96112695
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-101834964.98056348
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,176383333.3333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,-101834964.98056348
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,1.0,1.0,-0.0,1.0,2.0,1.0,-0.0,176383333.3333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-101834964.98056348
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,176383333.3333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-2.0,1.0,1.0,2.0,-2.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-2.0,1.0,2.0,2.0,-2.0,-78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-2.0,1.0,3.0,2.0,-2.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-1.0,1.0,1.0,2.0,-1.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-1.0,1.0,2.0,2.0,-1.0,-78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-1.0,1.0,3.0,2.0,-1.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-0.0,1.0,1.0,2.0,-0.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-0.0,1.0,2.0,2.0,-0.0,-78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,-0.0,1.0,3.0,2.0,-0.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,-78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-78881024.68626758
