term_id,L,S,term_upper_id,Lu,transition_id,J,Jʹ,K,Q,Jʹʹ,Jʹʹʹ,Kʹ,Qʹ,Kr,Qr,coefficient
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,8215195278.406491
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,0.0,0.0,-0.0,2.0,2.0,0.0,-0.0,0.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-0.0,8215195278.406491
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,2515379571.177187
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,2.0,0.0,-1452255072.5332341
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,2515379571.177187
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,2.0,1.0,-2515379571.177187
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,2.0,2.0,-3557283904.074998
2p3_L=1.0_S=1.0,1,1,3s3_L=0.0_S=1.0,0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,-0.0,-0.0
