term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_a_1,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,0.0,294311914008.0531,0,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,0.0,12635844658.488121,0,0
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,0.0,294311914008.0531,1,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,0.0,12635844658.488125,1,1
2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,294311914008.0531,2,2
2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,12635844658.488125,2,2
2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,0.0,0.0,294311914008.0531,3,3
2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,0.0,0.0,12635844658.488125,3,3
2s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,0.0,0.0,294311914008.05316,4,4
2s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,0.0,0.0,12635844658.488125,4,4
2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,0.0,0.0,294311914008.05316,5,5
2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,0.0,0.0,12635844658.488125,5,5
2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,0.0,0.0,294311914008.05316,6,6
2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,0.0,0.0,12635844658.488125,6,6
2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,0.0,0.0,294311914008.05316,7,7
2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,0.0,0.0,12635844658.488125,7,7
2s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,0.0,0.0,294311914008.05316,8,8
2s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,0.0,0.0,12635844658.488125,8,8
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,0.0,0.0,8215195278.406491,18,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,0.0,0.0,180269172250.74374,18,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,30,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,30,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,2.0,2.0,0.0,0.0,0.0,74,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,2.0,2.0,0.0,0.0,0.0,74,18
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,0.0,8215195278.406491,19,19
