term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_s_1,index1,index0
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,0.0,24645585835.21947,9,9
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,0.0,24645585835.219475,10,10
3s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,24645585835.219475,11,11
3s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,0.0,0.0,24645585835.219475,12,12
3s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,1.0,1.0,0.0,0.0,24645585835.21948,13,13
3s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,1.0,1.0,0.0,0.0,24645585835.21948,14,14
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,1.0,1.0,0.0,0.0,24645585835.21948,15,15
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,1.0,1.0,0.0,0.0,24645585835.21948,16,16
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,1.0,1.0,0.0,0.0,24645585835.21948,17,17
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,0.0,0.0,0.0,0.0,98103971336.01772,18,18
