term_id,K,Q,J,Jʹ,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,n_0,n_1,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,-0.0,2,0
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,-1.9999999999999996,1,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,5,1
2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.0,0,2
2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2
2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,6,2
2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9999999999999996,3,3
2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7,3
2s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,1.0,1.0,0.0,-3.9999999999999996,4,4
2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1,5
2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,2.0,-1.0,1.0,1.0,0.0,-2.0,5,5
2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,6
2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,-0.0,6,6
2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,7
2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,7,7
2s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,3.9999999999999996,8,8
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,-0.0,11,9
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,-1.9999999999999996,10,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,14,10
3s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.0,9,11
3s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,11,11
3s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,15,11
3s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9999999999999996,12,12
3s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,16,12
3s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,1.0,1.0,0.0,-3.9999999999999996,13,13
3s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,10,14
